1	Si pasojë e rezistencës ndaj tatimeve u zhvillua Lufta e Pavarësisë së Amerikës nga 1775-ta deri më 1783-ta. Kështu më 4 qershor 1776 13-të kolonit angleze shpallin pavarësinë. 
tgl	-313.1911773518558
nob	-272.0440180536151
deu	-456.8686283730261
gla	-260.0693999636778
fra	-452.41700637353375
por	-434.8156654809777
fin	-434.0713490827616
swh	-256.74330809246675
swe	-450.558728264681
dan	-457.6999583924034
dut	-450.940417402547
ita	-423.502470512923
pol	-276.22745455636806
eng	-461.36583097250104
spa	-434.8360923255325
result	Unknown
2	Europarekin izandako lehen topaketak kultura talka handia izan ziren, batez ere Espainiarrekin hegoaldean, ingelesekin ekialdean eta frantsesekin iparraldean eta Misisipiren arroan. 
tgl	-241.1458292675815
nob	-211.110742721738
deu	-352.4163340791787
gla	-198.51498045774008
fra	-355.7475287484609
por	-354.82860537609827
fin	-334.9379714654323
swh	-196.3482928259043
swe	-347.4137205935251
dan	-353.0543212187957
dut	-355.7318025121614
ita	-352.98093038742127
pol	-213.18375236487248
eng	-355.6904626049144
spa	-356.0495087674869
result	Unknown
3	Porém, isto mudou com o fim da guerra civil. Durante o século XIX, os Estados Unidos tornaram-se uma potência econômica e militar mundial. 
tgl	-245.14635821310387
nob	-224.85589105204787
deu	-375.206931905835
gla	-213.160599481327
fra	-388.0882131801392
por	-230.15811518218524
fin	-365.3868779622898
swh	-214.19813762825925
swe	-378.9967861020274
dan	-365.9767636445231
dut	-388.07105728599424
ita	-334.06658774879395
pol	-222.82902458804062
eng	-380.62594968819843
spa	-303.64896943890466
result	por
4	Kaut ari ASV ir daudzpartiju sistema, anglosaksu tradicijas dominejosas ir divas: republikani un demokrati. Musdienas pie varas ir republikani ar Dzordzu Busu prieksgala.
tgl	-263.48188621536974
nob	-230.30262842371417
deu	-377.0006207601879
gla	-211.64181593716106
fra	-376.6054789173332
por	-349.29010135701947
fin	-365.3868779622898
swh	-214.19813762825925
swe	-371.7133378732708
dan	-370.16621376969164
dut	-380.6320856935984
ita	-364.42177242828535
pol	-232.5640934889518
eng	-388.0259592053611
spa	-346.12637754233157
result	Unknown
5	Le peuplement se fait essentiellement par des migrants britanniques et par la traite négrière. Les esclaves noirs sont employés dans les plantations de tabac du sud 
tgl	-295.01400348742726
nob	-244.08195893265616
deu	-355.25522517763983
gla	-239.04705399219225
fra	-267.8810444638342
por	-345.2239367349911
fin	-394.02516480045534
swh	-235.29615102952337
swe	-392.7132800083487
dan	-336.7684903554975
dut	-358.05215081184025
